,Total Population,% age 21+,% age 65+,% Race - White,% Race - Black,% Race - American Native,% Race  - Asian,% Race - Pacific Islander,% Race - Other,% Race - Hispanic/Latino,% Male,2021 Median Income,City,State,Region
0,133,78.9,24.1,72.2,25.6,0.0,0.0,0.0,3.0,3.0,0.38345864661654133,,abanda,alabama,south
1,2358,76.6,26.2,52.7,45.6,1.3,1.2,0.2,2.7,2.8,0.4707379134860051,,abbeville,alabama,south
2,4366,75.0,18.6,42.6,54.5,2.3,0.4,0.1,3.7,4.2,0.4587723316536876,,adamsville,alabama,south
3,659,74.5,20.3,97.1,0.5,2.6,0.3,0.2,1.8,1.2,0.4658573596358118,,addison,alabama,south
4,225,76.4,20.9,10.2,90.7,0.0,0.9,0.0,0.4,0.4,0.48444444444444446,,akron,alabama,south
5,33284,69.6,13.7,74.3,17.4,2.9,1.8,0.2,11.3,12.7,0.4843167888474943,,alabaster,alabama,south
6,22386,65.5,14.0,69.6,6.2,4.4,1.1,0.1,27.3,33.7,0.4821763602251407,,albertville,alabama,south
7,14843,74.4,21.4,62.1,34.3,1.7,1.2,0.0,4.3,5.0,0.47295021222124906,,alexander city,alabama,south
8,4032,73.6,17.7,88.2,11.2,2.1,0.8,0.4,1.3,1.3,0.4915674603174603,,alexandria,alabama,south
9,2177,72.3,19.0,21.3,79.0,0.5,0.5,0.0,0.8,1.2,0.4418925126320625,,aliceville,alabama,south
10,548,62.0,10.0,57.5,2.0,3.8,1.1,0.4,46.4,52.4,0.5018248175182481,,allgood,alabama,south
11,948,72.0,18.8,95.6,1.9,2.6,0.1,0.1,3.2,3.6,0.46624472573839665,,altoona,alabama,south
12,8805,73.3,20.9,71.0,28.1,1.6,1.7,0.2,2.2,2.3,0.46825667234525836,,andalusia,alabama,south
13,254,79.5,23.6,97.6,0.0,3.1,2.0,0.0,1.6,3.5,0.48031496062992124,,anderson,alabama,south
14,21564,77.5,21.5,46.7,51.4,1.6,1.6,0.1,3.8,4.2,0.45144685587089595,,anniston,alabama,south
15,8461,74.5,20.2,96.5,1.0,3.5,1.5,0.1,2.7,3.6,0.47630303746602054,,arab,alabama,south
16,1321,74.8,20.5,94.4,3.9,3.5,0.8,0.2,4.1,4.2,0.46252838758516274,,ardmore,alabama,south
17,4368,69.9,12.9,90.8,7.9,3.8,0.8,0.1,2.4,2.2,0.49793956043956045,,argo,alabama,south
18,662,71.5,16.9,71.0,22.5,1.5,1.2,0.3,8.9,8.9,0.4818731117824773,,ariton,alabama,south
19,330,68.5,19.7,97.9,0.0,0.6,0.0,0.0,2.4,2.1,0.45151515151515154,,arley,alabama,south
20,2246,73.0,18.6,78.0,22.0,2.0,0.8,0.2,1.5,1.7,0.48308103294746213,,ashford,alabama,south
21,1984,77.4,23.7,71.1,27.9,1.3,1.4,0.1,3.5,3.3,0.46723790322580644,,ashland,alabama,south
22,2346,73.8,18.9,77.7,18.8,3.5,1.1,0.2,4.6,5.3,0.5029838022165388,,ashville,alabama,south
23,25406,74.1,20.1,75.3,18.8,2.9,1.5,0.3,7.8,9.5,0.47059749665433365,,athens,alabama,south
24,8391,77.5,17.1,41.7,56.6,3.7,0.6,0.1,1.2,1.8,0.54820641163151,,atmore,alabama,south
25,5827,73.6,20.0,82.1,15.7,3.5,0.7,0.1,4.7,5.8,0.47073966020250557,,attalla,alabama,south
26,76143,67.4,8.9,69.0,19.5,1.7,10.9,0.2,4.2,4.8,0.49234992054423915,22941,auburn,alabama,south
27,795,75.8,18.9,30.8,68.7,3.3,0.3,0.0,1.3,1.1,0.45534591194968554,,autaugaville,alabama,south
28,465,77.6,20.0,92.5,6.9,2.2,0.9,0.2,1.5,2.2,0.4881720430107527,,avon,alabama,south
29,561,76.1,15.7,60.2,34.6,5.9,0.5,0.0,1.4,0.7,0.47771836007130125,,axis,alabama,south
30,625,77.8,21.6,98.1,1.1,1.9,0.8,0.2,0.5,0.3,0.5008,,babbie,alabama,south
31,649,77.2,18.5,97.5,0.8,4.2,0.2,0.2,2.3,2.5,0.514637904468413,,baileyton,alabama,south
32,211,75.4,19.4,67.8,33.2,2.4,0.9,0.0,0.9,0.9,0.4881516587677725,,bakerhill,alabama,south
33,1437,75.5,18.0,98.1,1.3,4.1,0.9,0.0,1.1,1.1,0.476687543493389,,ballplay,alabama,south
34,156,73.7,25.0,70.5,27.6,0.0,2.6,0.0,1.9,1.9,0.46794871794871795,,banks,alabama,south
35,8107,71.0,18.1,61.5,37.6,3.5,1.0,0.2,1.9,2.3,0.48575305291723203,,bay minette,alabama,south
36,2204,71.1,15.5,64.5,14.2,2.5,20.0,0.1,4.2,4.5,0.48729582577132485,,bayou la batre,alabama,south
37,1047,71.3,18.7,96.6,1.3,2.5,0.4,0.0,3.1,3.5,0.4918815663801337,,bear creek,alabama,south
38,204,81.4,27.9,33.3,69.1,0.5,0.5,0.0,1.0,1.0,0.47549019607843135,,beatrice,alabama,south
39,187,85.6,25.7,95.2,3.7,1.6,0.5,0.5,1.6,1.1,0.5561497326203209,,beaverton,alabama,south
40,170,71.2,25.9,99.4,0.0,1.8,0.0,0.0,0.6,1.2,0.5470588235294118,,belgreen,alabama,south
41,186,76.3,31.7,98.9,1.1,3.8,0.0,0.0,0.5,2.2,0.45698924731182794,,belk,alabama,south
42,363,81.5,20.4,10.2,90.6,0.8,0.3,0.0,0.3,0.8,0.5041322314049587,,bellamy,alabama,south
43,613,77.5,21.2,95.8,2.0,4.6,2.3,0.0,6.9,6.0,0.4763458401305057,,belle fontaine,alabama,south
44,41,87.8,34.1,97.6,0.0,2.4,0.0,0.0,2.4,2.4,0.5365853658536586,,benton,alabama,south
45,476,74.6,16.4,89.3,1.9,4.4,0.0,0.4,12.8,14.1,0.5315126050420168,,berlin,alabama,south
46,1216,70.1,16.0,91.1,9.2,2.5,0.5,0.0,3.0,1.9,0.46463815789473684,,berry,alabama,south
47,26019,73.9,19.0,23.6,71.2,1.5,0.4,0.1,7.9,8.9,0.46323840270571504,,bessemer,alabama,south
48,125,80.0,18.4,84.0,16.0,1.6,0.8,0.0,0.0,1.6,0.44,,billingsley,alabama,south
49,200733,76.4,16.6,26.3,69.8,1.3,2.0,0.1,4.1,4.6,0.4646968859131284,23326,birmingham,alabama,south
50,221,71.0,18.6,96.8,2.3,3.2,1.8,0.5,0.5,1.8,0.5067873303167421,,black,alabama,south
51,1826,65.8,15.4,78.8,1.3,2.7,1.4,0.2,20.8,21.8,0.47316538882803943,,blountsville,alabama,south
52,1485,80.3,33.8,94.1,4.9,2.8,1.7,0.0,2.2,1.1,0.4727272727272727,,blue ridge,alabama,south
53,84,88.1,42.9,83.3,9.5,3.6,4.8,0.0,1.2,2.4,0.4642857142857143,,blue springs,alabama,south
54,10107,69.2,17.9,79.2,3.3,4.7,0.9,1.1,16.9,20.3,0.4764024933214604,,boaz,alabama,south
55,301,68.4,14.3,10.3,90.4,0.0,0.3,0.0,0.7,0.0,0.43521594684385384,,boligee,alabama,south
56,172,69.8,18.0,73.3,26.7,1.7,0.0,1.2,4.1,6.4,0.43023255813953487,,bon air,alabama,south
57,1754,76.3,20.5,89.0,4.3,3.2,0.7,0.1,8.0,10.1,0.48745724059293044,,bon secour,alabama,south
58,208,73.1,28.4,2.9,95.2,1.0,0.5,0.0,1.9,2.4,0.375,,boykin,alabama,south
59,825,74.2,19.2,57.0,42.8,1.5,0.4,0.0,1.1,1.7,0.4351515151515152,,brantley,alabama,south
60,931,72.1,10.4,76.6,5.9,5.4,0.6,0.4,21.2,26.3,0.48012889366272826,,brantleyville,alabama,south
61,2972,75.9,15.6,53.8,44.4,1.7,0.2,0.0,2.8,3.2,0.5215343203230148,,brent,alabama,south
62,5276,75.9,24.1,56.6,42.4,1.9,0.9,0.2,1.9,2.0,0.46986353297952993,,brewton,alabama,south
63,2264,75.6,20.8,88.3,10.5,5.8,0.7,0.0,1.4,1.4,0.4704063604240283,,bridgeport,alabama,south
64,2337,74.8,21.1,9.6,78.9,1.6,0.3,0.2,14.7,17.0,0.4809584937954643,,brighton,alabama,south
65,845,75.5,20.1,98.6,1.1,2.7,0.8,0.0,2.5,1.8,0.49230769230769234,,brilliant,alabama,south
66,624,71.0,16.0,94.4,0.0,4.0,0.2,0.0,5.4,6.3,0.46794871794871795,,bristow cove,alabama,south
67,7406,77.7,11.6,71.1,20.0,2.0,7.3,0.2,6.5,6.6,0.4704293815825007,,brook highland,alabama,south
68,1253,72.9,18.0,75.8,22.9,2.6,0.7,0.1,3.2,2.6,0.4828411811652035,,brookside,alabama,south
69,2504,70.3,10.3,87.3,10.3,2.2,0.6,0.0,3.0,3.6,0.4992012779552716,,brookwood,alabama,south
70,160,78.8,21.3,98.8,0.6,1.9,0.0,0.0,0.0,1.3,0.46875,,broomtown,alabama,south
71,2073,77.7,22.3,30.0,71.1,1.9,0.4,0.1,1.5,2.2,0.467438494934877,,brundidge,alabama,south
72,22,81.8,18.2,27.3,40.9,22.7,0.0,0.0,9.1,18.2,0.45454545454545453,,bucks,alabama,south
