city,city_brewery_count,state,state_brewery_count,bar,brewpub,closed,contract,large,location,micro,nano,planning,proprietor,regional,taproom,college_town,major_city,national_park_vistors,ski_resort,tech_city,total population,% age 21+,% age 65+,% race - white,% race - black,% race - american native,% race  - asian,% race - pacific islander,% race - other,% race - hispanic/latino,% male,2021 median income,region
portland,105,oregon,295,0,32,4,2,1,0,55,0,4,2,5,0,0.0,1.0,0.0,0.0,1.0,652503.0,79.7,13.9,78.8,7.9,3.5,10.9,1.1,9.5,11.1,0.4945417875473369,42262.0,west
bend,24,oregon,295,0,6,2,0,3,0,9,0,1,0,3,0,0.0,0.0,0.0,1.0,0.0,99178.0,75.8,17.7,93.3,1.3,2.9,3.5,0.6,8.1,9.2,0.4913993022646151,45517.0,west
salem,18,oregon,295,0,6,0,0,0,0,11,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,175535.0,72.3,15.8,80.7,3.0,4.6,4.8,1.9,17.9,23.5,0.4988976557381718,32200.0,west
eugene,15,oregon,295,0,5,1,0,1,0,7,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,176654.0,76.2,18.1,88.1,3.5,4.4,6.6,0.9,8.3,10.6,0.4894766039829271,32349.0,west
newport,10,oregon,295,0,2,0,0,0,0,7,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10256.0,78.5,27.0,84.5,1.2,6.0,3.4,0.7,15.6,19.1,0.4812792511700468,,west
medford,10,oregon,295,0,3,0,1,0,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,85824.0,73.8,19.7,88.3,2.2,4.7,3.6,1.1,13.5,17.1,0.4865538777032065,33258.0,west
albany,9,oregon,295,0,1,0,1,1,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,56472.0,73.8,18.0,90.0,1.8,4.7,3.2,0.7,11.1,14.1,0.4868430372574019,,west
hillsboro,8,oregon,295,0,3,0,0,0,0,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,106447.0,73.8,11.1,69.4,4.4,3.7,15.4,1.3,19.3,24.1,0.5036121262224393,41530.0,west
corvallis,8,oregon,295,0,5,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,59922.0,73.0,13.9,83.6,2.5,2.9,12.3,0.9,8.2,10.1,0.5021694869997664,,west
astoria,7,oregon,295,0,1,0,0,0,0,5,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10181.0,80.1,23.0,91.8,1.2,4.4,3.3,0.7,9.0,10.6,0.4894411158039485,,west
ashland,6,oregon,295,0,1,0,0,0,0,5,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,21360.0,78.8,28.0,91.5,2.3,3.4,4.2,0.7,7.7,7.6,0.4603464419475655,,west
roseburg,6,oregon,295,0,1,0,0,0,0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23683.0,77.2,23.5,93.1,1.3,5.4,3.0,0.7,5.3,7.6,0.4856225984883672,,west
lebanon,5,oregon,295,0,3,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,18447.0,73.6,18.1,93.6,1.4,4.6,2.4,0.7,6.0,7.9,0.4859868813357185,,west
beaverton,5,oregon,295,0,2,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,97494.0,76.4,14.5,74.1,4.6,3.2,15.3,1.1,15.1,18.1,0.4873222967567235,42901.0,west
hood river,5,oregon,295,0,1,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8313.0,72.2,15.7,86.7,1.4,3.4,4.1,0.7,18.5,23.5,0.4786479008781427,,west
mcminnville,5,oregon,295,0,2,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34319.0,71.8,20.3,84.2,1.4,4.3,2.6,0.7,19.1,23.9,0.4772574958477811,,west
oregon city,5,oregon,295,0,1,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37572.0,73.4,15.4,91.8,2.2,3.9,4.0,0.7,7.8,9.2,0.4894868519109975,,west
ontario,4,oregon,295,0,1,1,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11645.0,68.4,17.9,72.8,2.0,4.8,2.6,0.3,31.0,43.4,0.4852726492056676,,west
gresham,4,oregon,295,0,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,114247.0,72.4,15.1,73.7,7.4,4.5,7.9,1.6,17.4,21.0,0.489675877703572,35261.0,west
brookings,4,oregon,295,0,2,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6744.0,79.0,28.7,92.3,1.2,7.0,2.7,0.4,8.1,9.7,0.4822064056939502,,west
grants pass,4,oregon,295,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39189.0,75.2,23.3,93.1,1.6,5.2,2.6,0.6,7.3,10.0,0.4758222970731582,,west
sandy,3,oregon,295,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,12612.0,68.7,12.0,92.6,1.7,4.5,3.1,0.7,7.2,9.7,0.4888201712654614,,west
newberg,3,oregon,295,0,1,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25138.0,70.5,15.6,88.3,2.0,4.0,4.1,0.8,12.2,14.9,0.4848038825682234,,west
cannon beach,3,oregon,295,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1489.0,81.5,32.3,91.9,0.8,2.4,2.3,0.6,12.4,12.4,0.4560107454667562,,west
tillamook,3,oregon,295,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5204.0,70.7,16.4,86.5,1.2,4.9,2.2,1.4,16.7,19.5,0.4809761721752498,,west
dundee,3,oregon,295,0,0,1,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3238.0,73.1,15.4,90.6,1.6,4.0,2.8,0.5,11.1,13.7,0.4950586781964175,,west
forest grove,3,oregon,295,0,1,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26225.0,69.6,15.1,80.5,2.1,3.9,4.8,1.0,21.6,27.3,0.4834699714013346,,west
seaside,2,oregon,295,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7115.0,78.1,24.3,88.1,2.1,3.4,2.9,0.6,12.6,15.7,0.4830639494026704,,west
tigard,2,oregon,295,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,54539.0,75.7,15.6,79.8,3.5,3.0,11.8,1.7,11.6,13.6,0.4910797777737032,,west
lake oswego,2,oregon,295,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40731.0,76.2,24.3,88.9,1.9,1.7,11.4,0.5,5.1,5.3,0.4742333848911149,,west
wilsonville,2,oregon,295,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26664.0,76.7,17.2,85.6,2.6,3.0,7.4,0.9,11.0,13.5,0.4709345934593459,,west
lincoln city,2,oregon,295,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9815.0,82.0,29.8,87.3,1.6,6.8,3.2,0.9,10.8,12.7,0.4698930208863984,,west
clackamas,2,oregon,295,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,west
pendleton,2,oregon,295,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17107.0,76.3,16.5,86.8,2.4,7.2,2.1,0.6,9.6,11.4,0.5378500029227802,,west
klamath falls,2,oregon,295,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21813.0,73.1,17.5,86.7,2.5,8.8,3.3,0.7,9.7,14.0,0.4957135653050933,,west
philomath,2,oregon,295,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,5350.0,73.4,13.2,92.8,1.7,4.2,3.6,0.4,7.2,9.1,0.4848598130841121,,west
sisters,2,oregon,295,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3064.0,77.4,27.9,96.2,1.0,3.0,2.2,0.7,6.3,6.3,0.4654046997389034,,west
milwaukie,2,oregon,295,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,21119.0,80.3,18.1,90.7,3.0,4.0,4.8,0.8,7.5,8.6,0.4937733794213741,,west
tualatin,2,oregon,295,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27942.0,73.4,13.9,83.3,2.7,3.2,7.2,1.9,15.4,18.5,0.4879750912604681,,west
baker city,2,oregon,295,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10099.0,76.9,23.4,94.9,1.2,3.8,1.3,0.4,4.9,5.3,0.507277948311714,,west
sherwood,2,oregon,295,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20450.0,66.6,10.4,89.8,1.7,2.9,8.0,1.1,7.7,9.8,0.4911980440097799,,west
mt hood,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,west
alsea,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,165.0,69.1,14.5,97.6,0.0,7.3,2.4,1.2,2.4,1.2,0.509090909090909,,west
government camp,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,179.0,77.1,22.9,95.0,1.1,2.8,3.4,0.0,2.2,2.8,0.6759776536312849,,west
prineville,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10736.0,73.9,21.5,92.2,1.0,5.0,1.0,0.3,9.5,10.8,0.4867734724292101,,west
yachats,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,994.0,91.1,51.0,95.8,0.8,2.7,1.9,0.0,5.5,5.9,0.4557344064386318,,west
cave junction,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2071.0,75.3,28.2,95.7,2.3,6.8,1.4,0.4,5.0,9.7,0.465958474167069,,west
west linn,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27373.0,71.7,17.9,91.9,1.9,2.3,7.9,0.5,5.6,5.7,0.485514923464728,,west
troutdale,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16300.0,73.6,14.5,82.7,4.0,3.8,7.5,1.2,12.0,14.7,0.4951533742331288,,west
sunriver,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023.0,92.5,53.3,97.1,0.9,1.2,1.5,0.1,3.8,3.7,0.4869006426099851,,west
enterprise,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2052.0,75.0,24.8,96.1,0.9,4.0,1.5,0.4,5.0,4.4,0.4824561403508772,,west
burns,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2730.0,75.7,23.6,93.7,1.1,7.4,1.6,0.4,4.4,6.5,0.5073260073260073,,west
cascade locks,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1379.0,75.5,16.8,89.6,1.2,7.3,2.6,0.6,12.0,12.1,0.5105148658448151,,west
mount hood parkdale,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,west
boardman,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3828.0,60.5,6.4,54.9,1.2,3.4,0.5,0.2,59.3,73.5,0.5235109717868338,,west
saint helens,1,oregon,295,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,west
pacific city,1,oregon,295,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1109.0,85.9,30.8,95.8,0.5,3.4,1.0,0.5,6.0,6.0,0.5175834084761046,,west
winston,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5625.0,74.3,20.9,93.9,1.0,5.8,1.8,0.3,5.2,5.6,0.4897777777777777,,west
oakridge,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3206.0,78.2,27.1,92.7,2.8,7.1,1.2,0.4,5.8,6.1,0.5009357454772302,,west
carlton,1,oregon,295,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2220.0,72.4,14.3,91.7,1.2,3.9,2.7,0.6,10.0,9.3,0.4918918918918919,,west
gold beach,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2341.0,82.9,27.1,94.6,1.2,7.2,2.0,0.5,4.3,6.2,0.4809910294745835,,west
john day,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1664.0,77.2,24.1,95.6,1.4,5.3,1.8,0.9,3.7,3.2,0.4831730769230769,,west
coos bay,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15985.0,77.5,23.6,91.9,1.3,6.2,2.9,0.9,7.0,9.0,0.4857053487644667,,west
bandon,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3321.0,85.5,40.9,95.1,0.8,5.1,1.6,0.4,4.6,6.0,0.4676302318578741,,west
banks,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1837.0,64.9,6.6,92.9,1.1,4.0,4.6,1.4,9.0,12.0,0.4959172563962983,,west
hermiston,1,oregon,295,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19354.0,65.2,12.9,72.8,1.6,4.2,2.2,0.5,36.3,44.2,0.4918879818125452,,west
reedsport,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4310.0,78.7,31.1,94.8,0.7,4.7,1.8,0.8,5.9,6.9,0.4886310904872389,,west
milton freewater,1,oregon,295,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,west
terrebonne,1,oregon,295,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1393.0,77.7,22.5,95.2,1.1,5.6,1.6,0.3,6.5,7.3,0.5369705671213209,,west
