,City Names,Rank,State Code,2024 Population,State Name,Region,Division
0,New York,1,NY,7931147,New York,Northeast,Middle Atlantic
5,Los Angeles,2,CA,3748640,California,West,Pacific
67,Chicago,3,IL,2590002,Illinois,Midwest,East North Central
74,Houston,4,TX,2305889,Texas,South,West South Central
113,Phoenix,5,AZ,1676481,Arizona,West,Mountain
125,Philadelphia,6,PA,1533916,Pennsylvania,Northeast,Middle Atlantic
75,San Antonio,7,TX,1506593,Texas,South,West South Central
6,San Diego,8,CA,1375452,California,West,Pacific
76,Dallas,9,TX,1295447,Texas,South,West South Central
128,Jacksonville,10,FL,990931,Florida,South,South Atlantic
77,Fort Worth,11,TX,989842,Texas,South,West South Central
78,Austin,12,TX,983126,Texas,South,West South Central
7,San Jose,13,CA,932636,California,West,Pacific
152,Charlotte,14,NC,920325,North Carolina,South,South Atlantic
162,Columbus,15,OH,909676,Ohio,Midwest,East North Central
168,Indianapolis (balance),16,IN,874089,Indiana,Midwest,East North Central
171,Seattle,17,WA,757992,Washington,West,Pacific
8,San Francisco,18,CA,746481,California,West,Pacific
179,Denver,19,CO,708948,Colorado,West,Mountain
188,Oklahoma City,20,OK,706576,Oklahoma,South,West South Central
192,Nashville (balance),21,TN,677519,Tennessee,South,East South Central
79,El Paso,22,TX,675872,Texas,South,West South Central
198,Washington,23,DC,672738,District of Columbia,South,South Atlantic
199,Las Vegas,24,NV,665811,Nevada,West,Mountain
208,Boston,25,MA,629842,Massachusetts,Northeast,New England
213,Portland,26,OR,616840,Oregon,West,Pacific
216,Louisville/Jefferson County (balance),27,KY,616447,Kentucky,South,East South Central
193,Memphis,28,TN,610944,Tennessee,South,East South Central
218,Detroit,29,MI,603410,Michigan,Midwest,East North Central
224,Albuquerque,30,NM,557161,New Mexico,West,Mountain
227,Baltimore,31,MD,556723,Maryland,South,South Atlantic
114,Tucson,32,AZ,550472,Arizona,West,Mountain
228,Milwaukee,33,WI,550099,Wisconsin,Midwest,East North Central
9,Fresno,34,CA,548687,California,West,Pacific
10,Sacramento,35,CA,530334,California,West,Pacific
115,Mesa,36,AZ,519133,Arizona,West,Mountain
230,Kansas City,37,MO,510411,Missouri,Midwest,West North Central
235,Atlanta,38,GA,498386,Georgia,South,South Atlantic
180,Colorado Springs,39,CO,492204,Colorado,West,Mountain
153,Raleigh,40,NC,488854,North Carolina,South,South Atlantic
242,Omaha,41,NE,477705,Nebraska,Midwest,West North Central
129,Miami,42,FL,456229,Florida,South,South Atlantic
244,Virginia Beach,43,VA,451590,Virginia,South,South Atlantic
11,Long Beach,44,CA,437166,California,West,Pacific
12,Oakland,45,CA,420233,California,West,Pacific
252,Minneapolis,46,MN,419508,Minnesota,Midwest,West North Central
13,Bakersfield,47,CA,416113,California,West,Pacific
189,Tulsa,48,OK,410131,Oklahoma,South,West South Central
130,Tampa,49,FL,408438,Florida,South,South Atlantic
181,Aurora,50,CO,400325,Colorado,West,Mountain
80,Arlington,51,TX,394992,Texas,South,West South Central
255,Wichita,52,KS,394381,Kansas,Midwest,West North Central
260,New Orleans,53,LA,356280,Louisiana,South,West South Central
163,Cleveland,54,OH,351397,Ohio,Midwest,East North Central
200,Henderson,55,NV,343791,Nevada,West,Mountain
14,Anaheim,56,CA,341817,California,West,Pacific
265,Honolulu,57,HI,338455,Hawaii,West,Pacific
15,Riverside,58,CA,326059,California,West,Pacific
131,Orlando,59,FL,324429,Florida,South,South Atlantic
16,Stockton,60,CA,322615,California,West,Pacific
17,Irvine,61,CA,318396,California,West,Pacific
217,Lexington,62,KY,318081,Kentucky,South,East South Central
81,Corpus Christi,63,TX,314431,Texas,South,West South Central
164,Cincinnati,64,OH,309452,Ohio,Midwest,East North Central
18,Santa Ana,65,CA,306457,California,West,Pacific
154,Greensboro,66,NC,305314,North Carolina,South,South Atlantic
126,Pittsburgh,67,PA,303034,Pennsylvania,Northeast,Middle Atlantic
266,Newark,68,NJ,300075,New Jersey,Northeast,Middle Atlantic
201,North Las Vegas,69,NV,299895,Nevada,West,Mountain
155,Durham,70,NC,299494,North Carolina,South,South Atlantic
253,St. Paul,71,MN,295222,Minnesota,Midwest,West North Central
243,Lincoln,72,NE,293678,Nebraska,Midwest,West North Central
82,Plano,73,TX,292706,Texas,South,West South Central
116,Chandler,74,AZ,284095,Arizona,West,Mountain
270,Anchorage,75,AK,283424,Alaska,West,Pacific
19,Chula Vista,76,CA,282299,California,West,Pacific
202,Reno,77,NV,281931,Nevada,West,Mountain
117,Gilbert,78,AZ,281535,Arizona,West,Mountain
267,Jersey City,79,NJ,281421,New Jersey,Northeast,Middle Atlantic
229,Madison,80,WI,275493,Wisconsin,Midwest,East North Central
1,Buffalo,81,NY,275352,New York,Northeast,Middle Atlantic
231,St. Louis,82,MO,272673,Missouri,Midwest,West North Central
169,Fort Wayne,83,IN,271493,Indiana,Midwest,East North Central
83,Lubbock,84,TX,269886,Texas,South,West South Central
132,St. Petersburg,85,FL,263515,Florida,South,South Atlantic
165,Toledo,86,OH,262336,Ohio,Midwest,East North Central
84,Laredo,87,TX,256895,Texas,South,West South Central
133,Port St. Lucie,88,FL,256772,Florida,South,South Atlantic
118,Glendale,89,AZ,255368,Arizona,West,Mountain
245,Chesapeake,90,VA,255173,Virginia,South,South Atlantic
156,Winston-Salem,91,NC,252907,North Carolina,South,South Atlantic
85,Irving,92,TX,252564,Texas,South,West South Central
119,Scottsdale,93,AZ,244234,Arizona,West,Mountain
134,Cape Coral,94,FL,238576,Florida,South,South Atlantic
271,Boise,95,ID,237250,Idaho,West,Mountain
86,Frisco,96,TX,236432,Texas,South,West South Central
203,Enterprise,97,NV,236331,Nevada,West,Mountain
87,Garland,98,TX,236258,Texas,South,West South Central
246,Arlington,99,VA,236007,Virginia,South,South Atlantic
247,Richmond,100,VA,231782,Virginia,South,South Atlantic
172,Spokane,101,WA,231133,Washington,West,Pacific
248,Norfolk,102,VA,228252,Virginia,South,South Atlantic
274,Huntsville,103,AL,227522,Alabama,South,East South Central
173,Tacoma,104,WA,223859,Washington,West,Pacific
204,Spring Valley,105,NV,221531,Nevada,West,Mountain
20,San Bernardino,106,CA,218628,California,West,Pacific
135,Hialeah,107,FL,218194,Florida,South,South Atlantic
21,Fremont,108,CA,217548,California,West,Pacific
88,McKinney,109,TX,217540,Texas,South,West South Central
22,Modesto,110,CA,217484,California,West,Pacific
261,Baton Rouge,111,LA,216641,Louisiana,South,West South Central
23,Fontana,112,CA,216330,California,West,Pacific
24,Moreno Valley,113,CA,214741,California,West,Pacific
25,Santa Clarita,114,CA,214625,California,West,Pacific
279,Sioux Falls,115,SD,210747,South Dakota,Midwest,West North Central
157,Fayetteville,116,NC,209642,North Carolina,South,South Atlantic
280,Salt Lake City,117,UT,208656,Utah,West,Mountain
284,Des Moines,118,IA,208254,Iowa,Midwest,West North Central
2,Rochester,119,NY,207537,New York,Northeast,Middle Atlantic
89,Grand Prairie,120,TX,207408,Texas,South,West South Central
209,Worcester,121,MA,205575,Massachusetts,Northeast,New England
136,Tallahassee,122,FL,205536,Florida,South,South Atlantic
3,Yonkers,123,NY,205253,New York,Northeast,Middle Atlantic
120,Peoria,124,AZ,203771,Arizona,West,Mountain
286,Little Rock,125,AR,203106,Arkansas,South,West South Central
236,Augusta-Richmond County (balance),126,GA,202192,Georgia,South,South Atlantic
90,Amarillo,127,TX,202075,Texas,South,West South Central
194,Knoxville,128,TN,200300,Tennessee,South,East South Central
26,Oxnard,129,CA,198586,California,West,Pacific
205,Sunrise Manor,130,NV,198463,Nevada,West,Mountain
237,Columbus,131,GA,198234,Georgia,South,South Atlantic
174,Vancouver,132,WA,197765,Washington,West,Pacific
256,Overland Park,133,KS,197730,Kansas,Midwest,West North Central
219,Grand Rapids,134,MI,195118,Michigan,Midwest,East North Central
275,Montgomery,135,AL,193948,Alabama,South,East South Central
276,Birmingham,136,AL,193491,Alabama,South,East South Central
91,Brownsville,137,TX,191774,Texas,South,West South Central
121,Tempe,138,AZ,190220,Arizona,West,Mountain
27,Huntington Beach,139,CA,190210,California,West,Pacific
206,Paradise,140,NV,189495,Nevada,West,Mountain
287,Providence,141,RI,188398,Rhode Island,Northeast,New England
166,Akron,142,OH,186888,Ohio,Midwest,East North Central
195,Chattanooga,143,TN,186612,Tennessee,South,East South Central
196,Clarksville,144,TN,186449,Tennessee,South,East South Central
158,Cary,145,NC,185266,North Carolina,South,South Atlantic
137,Fort Lauderdale,146,FL,183412,Florida,South,South Atlantic
249,Newport News,147,VA,182579,Virginia,South,South Atlantic
28,Glendale,148,CA,182447,California,West,Pacific
29,Ontario,149,CA,182270,California,West,Pacific
277,Mobile,150,AL,179967,Alabama,South,East South Central
214,Salem,151,OR,179043,Oregon,West,Pacific
215,Eugene,152,OR,178457,Oregon,West,Pacific
30,Elk Grove,153,CA,178384,California,West,Pacific
31,Rancho Cucamonga,154,CA,178101,California,West,Pacific
32,Santa Rosa,155,CA,176527,California,West,Pacific
68,Aurora,156,IL,175535,Illinois,Midwest,East North Central
262,Shreveport,157,LA,173479,Louisiana,South,West South Central
197,Murfreesboro,158,TN,171059,Tennessee,South,East South Central
232,Springfield,159,MO,170970,Missouri,Midwest,West North Central
33,Oceanside,160,CA,170484,California,West,Pacific
138,Pembroke Pines,161,FL,168690,Florida,South,South Atlantic
182,Fort Collins,162,CO,168519,Colorado,West,Mountain
34,Garden Grove,163,CA,166749,California,West,Pacific
35,Lancaster,164,CA,165330,California,West,Pacific
92,Killeen,165,TX,164618,Texas,South,West South Central
122,Surprise,166,AZ,164001,Arizona,West,Mountain
36,Corona,167,CA,161585,California,West,Pacific
37,Roseville,168,CA,161148,California,West,Pacific
93,Denton,169,TX,159609,Texas,South,West South Central
38,Salinas,170,CA,158744,California,West,Pacific
39,Palmdale,171,CA,158063,California,West,Pacific
288,Charleston,172,SC,156602,South Carolina,South,South Atlantic
183,Lakewood,173,CO,156004,Colorado,West,Mountain
238,Macon-Bibb County,174,GA,155369,Georgia,South,South Atlantic
