,id,name,brewery_type,city,postal_code,country,longitude,latitude,phone,website_url,state,street
0,5128df48-79fc-4f0f-8b52-d06be54d0cec,(405) brewing co,micro,norman,73069-8224,united states,-97.46818222,35.25738891,4058160490,http://www.405brewing.com,oklahoma,1716 topeka st
1,9c5a66c8-cc13-416f-a5d9-0a769c87d318,(512) brewing co,micro,austin,78745-1197,united states,,,5129211545,http://www.512brewing.com,texas,407 radam ln ste f200
2,34e8c68b-6146-453f-a4b9-1f6cd99a5ada,1 of us brewing company,micro,mount pleasant,53406-3920,united states,-87.88336350209435,42.72010826899558,2624847553,https://www.1ofusbrewing.com,wisconsin,8100 washington ave
3,ef970757-fe42-416f-931d-722451f1f59c,10 barrel brewing co,large,san diego,92101-6618,united states,-117.129593,32.714813,6195782311,http://10barrel.com,california,1501 e st
4,6d14b220-8926-4521-8d19-b98a2d6ec3db,10 barrel brewing co,large,bend,97701-9847,united states,-121.281706,44.08683531,5415851007,http://www.10barrel.com,oregon,62970 18th st
5,e2e78bd8-80ff-4a61-a65c-3bfbd9d76ce2,10 barrel brewing co,large,bend,97703-2465,united states,-121.3288021,44.0575649,5415851007,,oregon,1135 nw galveston ave ste b
6,e432899b-7f58-455f-9c7b-9a6e2130a1e0,10 barrel brewing co,large,portland,97209-2620,united states,-122.6855056,45.5259786,5032241700,http://www.10barrel.com,oregon,1411 nw flanders st
7,9f1852da-c312-42da-9a31-097bac81c4c0,10 barrel brewing co - bend pub,large,bend,97701,united states,-121.2809536,44.0912109,5415851007,,oregon,62950 ne 18th st
8,ea4f30c0-bce6-416b-8904-fab4055a7362,10 barrel brewing co - boise,large,boise,83702-5857,united states,-116.202929,43.618516,2083445870,http://www.10barrel.com,idaho,826 w bannock st
9,1988eb86-f0a2-4674-ba04-02454efa0d31,10 barrel brewing co - denver,large,denver,80205-2231,united states,-104.9853655,39.7592508,7205738992,,colorado,2620 walnut st
10,1ecc330f-6275-42a5-b14e-00adbed62752,10 torr distilling and brewing,micro,reno,89502,united states,-119.7732015,39.5171702,7755307014,http://www.10torr.com,nevada,490 mill st
11,7531dbd8-afc9-4b5b-95bc-7ece7f2c0bf3,10-56 brewing company,micro,knox,46534,united states,-86.627954,41.289715,6308165790,,indiana,400 brown cir
12,03118499-a3d0-4c22-860d-4529509ae095,101 brewery,brewpub,quilcene,98376-9000,united states,-122.8755823,47.82347577,3607656485,http://www.101brewery.com,washington,294793 us highway 101
13,5ae467af-66dc-4d7f-8839-44228f89b596,101 north brewing company,closed,petaluma,94954-7100,united states,-122.665055,38.27029381,7077534934,http://www.101northbeer.com,california,1304 scott st ste d
14,4ffda196-dd59-44a5-9eeb-5f7fd4b58f5a,105 west brewing co,micro,castle rock,80109-1585,united states,-104.8667206,39.38269495,3033257321,http://www.105westbrewing.com,colorado,1043 park st
15,42aa37d5-8384-4ffe-8c81-7c982eff0384,10k brewing,micro,anoka,55303-2243,united states,-93.38952559,45.19812039,7633924753,http://10kbrew.com,minnesota,2005 2nd ave
16,232e8f62-9afc-45f5-b4bc-582c26b5c43b,10th district brewing company,micro,abington,02351-2419,united states,-70.94594149,42.10591754,7813071554,http://www.10thdistrictbrewing.com,massachusetts,491 washington st
17,08f78223-24f8-4b71-b381-ea19a5bd82df,11 below brewing company,micro,houston,77066-3107,united states,-95.5186591,29.9515464,2814442337,http://www.11belowbrewing.com,texas,6820 bourgeois rd
18,58293321-14ae-49d7-9a7b-08436c9e63a6,1188 brewing co,brewpub,john day,97845-1210,united states,-118.9218754,44.4146563,5415751188,http://www.1188brewing.com,oregon,141 e main st
20,d81ff708-b5d2-478f-af6a-6d40f5beb9ac,12 gates brewing company,brewpub,williamsville,14221-7804,united states,,,7169066600,http://www.12gatesbrewing.com,new york,80 earhart dr ste 20
21,fb94830f-6196-4f59-9189-c9060b778085,12 west brewing company,micro,gilbert,85296-7832,united states,,,6023395014,http://www.12westbrewing.com,arizona,3000 e ray rd bldg 6
23,e54c2f02-acd6-4172-861d-fcfa54c8701a,122 west brewing co,closed,bellingham,98225-2405,united states,-122.485982,48.7621709,3603063285,https://www.122westbrew.com/,washington,2416 meridian st
24,d5cb896d-3e99-4e19-9693-5e06ce987e53,127 brewing,micro,jackson,49201-7010,united states,-84.43116792,42.28667212,5172581346,,michigan,3090 shirley dr
25,06e9fffb-e820-45c9-b107-b52b51013e8f,12degree brewing,brewpub,louisville,80027-1865,united states,-105.1319826,39.9782443,3035791004,http://www.12degree.com,colorado,820 main st
26,50521ef7-f543-4c5d-98b1-0d0ee1a2be01,12welve eyes brewing,micro,saint paul,55101-1639,united states,,,6514938106,http://www.12welveeyes.com,minnesota,141 e 4th st ste ll2
27,950180bd-29c9-46b3-ad0c-e6f09799ec7f,13 below brewery,micro,cincinnati,45233-1013,united states,-84.70634815,39.12639764,5139750613,http://www.13belowbrewery.com,ohio,7391 forbes rd
28,45119c56-345b-4adc-b481-c5cf7bfe98c4,13 stripes brewery,brewpub,taylors,29687,united states,,,8643491430,http://www.13stripesbrewery.com,south carolina,"250 mill st, suite pw3101"
29,936c3d7e-5d54-4459-b72c-117cdda059b4,13 virtues brewing co,brewpub,portland,97202-5518,united states,-122.6487531,45.4762536,5032393831,http://www.13virtuesbrewing.com,oregon,6410 se milwaukie ave
30,5c53b314-ebab-4e3e-89be-e4139d9318ae,1323 r & d,micro,raleigh,27603-1117,united states,,,9199775654,http://www.1323rnd.com,north carolina,1323 capital blvd 1323 r and d
31,4788221a-a03b-458c-9084-4cadd69ade6d,14 cannons brewing company,micro,westlake village,91362-3974,united states,-118.802397,34.15334,8186996165,http://14cannons.com,california,31125 via colinas ste 907
33,4b677b60-fef1-42e2-90ef-dadc1bd7fb06,14er brewing company,proprietor,denver,80205-2235,united states,-104.9839636,39.7614112,7207731437,http://www.14erbrewing.com,colorado,2801 walnut st
34,6c53984f-fac1-4ea7-9c44-44e25897c71a,14th star brewing,micro,saint albans,05478-1735,united states,,,8025285988,http://www.14thstarbrewing.com,vermont,133 n main st ste 7
35,85192a9c-58a4-48c3-bd9d-496d09d22aa3,16 lots brewing,brewpub,mason,45040-1303,united states,-84.3183801,39.3545967,5134863672,http://www.16lots.com,ohio,753 reading rd
36,284b44f8-6ccb-4cd6-8d06-f2ad882a47c3,16 mile brewing co,micro,georgetown,19947-1849,united states,-75.37816436,38.6788938,3022538816,http://www.16milebrewery.com,delaware,413 s bedford st
37,ee6d39c6-092f-4623-8099-5b8643f70dbe,16 stone brewpub,brewpub,holland patent,13354,united states,-75.2565195,43.24211175,3158658500,http://www.16stonebrewpub.com,new york,9542 main st
38,d35b40b0-a3ff-4878-a6ee-9caa2149b521,"1623 brewing co, llc",contract,westminister,21157,united states,,,,,maryland,1146 colonel joshua ct
39,84bd3b3c-bd2d-4e07-bc31-b43a8c8ebf4c,1717 brewing co,micro,des moines,50309-2015,united states,-93.6120353,41.5872267,5152437868,http://1717brewing.com,iowa,322 e court ave
40,f41a0c47-ba9b-4547-bfed-fcbefe0fc74b,1718 ocracoke brewing,brewpub,ocracoke,27960,united states,-75.97176063,35.10715368,2529282337,http://www.ocracokebrewing.com,north carolina,1129 irvin garrish hwy
41,84d621c4-81a5-44e6-aca7-1566c2e67cc0,1781 brewing company,micro,spotsylvania,22553-4258,united states,,,5408412598,,virginia,11109 plank rd
42,896f26a1-d80e-4790-9287-026a86c1799d,180 and tapped,micro,coraopolis,15108,united states,-80.15020356,40.50984957,4127375273,http://www.180andtapped.com,pennsylvania,2010 a state ave
43,46839a79-b7bf-4733-b91b-ce116d062a57,1817 brewery,micro,okolona,38860,united states,-88.750264,34.001703,6623055907,,mississippi,100 b south olive st
44,1a1b2165-73ed-40aa-b89b-56794d140f22,1840 brewing company,micro,milwaukee,53207-1348,united states,-87.90606942,43.00436242,4142364056,http://www.1840brewing.com,wisconsin,342 e ward st
46,b51f3cdf-60ff-4ae1-94a7-76906c7d62eb,18th street brewery,micro,gary,46403-2871,united states,-87.26887786,41.59928343,,http://www.18thstreetbrewery.com,indiana,5725 miller ave
47,add7f978-942e-4d56-b209-c80837a51d69,18th street brewery,micro,hammond,46320-1817,united states,-87.517422,41.61556796,,,indiana,5417 oakley ave
48,dbde8235-2b55-4d8b-8b1c-438155abe104,1905 brewing company,micro,assumption,62510-8504,united states,-89.0503635,39.5172564,2172549374,http://1905brewingcompany.com,illinois,1301 s chestnut st
49,4f4b5b34-d572-4dff-a18f-47e507c073e6,1912 brewing,micro,tucson,85745-1444,united states,-110.9927505,32.24673727,5202564851,http://www.1912brewing.com,arizona,2045 n forbes blvd ste 105
50,4ccad9b9-f9cf-4d21-b6d5-ab005ee1532d,192 brewing,micro,kenmore,98028-2500,united states,-122.2415652,47.75670075,4254242337,http://www.192brewing.com,washington,7324 ne 175th st
51,4a09f017-db8f-42e1-a8ec-a0cd81c28761,1940's brewing company,micro,holbrook,11741-2275,united states,,,6315334838,http://www.1940sbrewingcompany.com,new york,1337 lincoln ave unit 1
