Ski Resort,City,State
Mohawk Mountain Ski Area,Cornwall,Connecticut
Mount Southington,Plantsville,Connecticut
Powder Ridge Ski Area,Middlefield,Connecticut
Ski Sundown,New Hartford,Connecticut
Baker Mountain,Bingham,Maine
Big Rock,Mars Hill,Maine
Big Moose,Greenville,Maine
Black Mountain of Maine,Rumford,Maine
Camden Snow Bowl,Camden,Maine
Eaton Mountain,Skowhegan,Maine
Hermon Mountain,Hermon,Maine
Lonesome Pine Trails,Fort Kent,Maine
Lost Valley,Auburn,Maine
Mount Abram,Greenwood,Maine
Mount Jefferson Ski Area,Lee,Maine
Pinnacle Ski Club,Pittsfield,Maine
Pleasant Mountain,Bridgton,Maine
Powderhouse Hill,South Berwick,Maine
Quoggy Jo,Presque Isle,Maine
Saddleback Maine,Rangeley,Maine
Sugarloaf,Carrabassett Valley,Maine
Sunday River,Newry,Maine
Titcomb Mountain,Farmington,Maine
Berkshire East Ski Resort,Charlemont,Massachusetts
Blue Hills Ski Area,Canton,Massachusetts
Bousquet Ski Area,Pittsfield,Massachusetts
Butternut,Great Barrington,Massachusetts
Jiminy Peak,Hancock,Massachusetts
Mount Greylock Ski Club,Williamstown ,Massachusetts
Nashoba Valley Ski Area,Westford,Massachusetts
Otis Ridge,Otis,Massachusetts
Ski Bradford,Haverhill,Massachusetts
Ski Ward,Shrewsbury,Massachusetts
Wachusett Mountain,Princeton,Massachusetts
Abenaki Ski Area,Wolfeboro,New Hampshire
Arrowhead,Claremont,New Hampshire
Attitash,Bartlett,New Hampshire
Black Mountain,Jackson,New Hampshire
Bretton Woods,Bretton Woods,New Hampshire
Cannon Mountain,Franconia Notch,New Hampshire
Campton Mountain,Campton,New Hampshire
Cranmore Mountain Resort,North Conway,New Hampshire
Crotched Mountain,Bennington,New Hampshire
Dartmouth Skiway,Lyme,New Hampshire
Franklin Veterans Memorial Recreation Area,Franklin,New Hampshire
Granite Gorge,Keene,New Hampshire
Gunstock Mountain Resort,Gilford,New Hampshire
Kanc Rec Area,Lincoln,New Hampshire
King Pine,East Madison,New Hampshire
Loon Mountain,Lincoln,New Hampshire
McIntyre Ski Area,Manchester,New Hampshire
Mount Prospect,Lancaster,New Hampshire
Mount Sunapee Resort,Sunapee,New Hampshire
Pats Peak,Henniker,New Hampshire
Ragged Mountain,Danbury,New Hampshire
Red Hill Ski Club,Moultonborough,New Hampshire
Storrs Hill,Lebanon,New Hampshire
Tenney Mountain Ski Resort,Plymouth,New Hampshire
The Balsams Wilderness,Dixville Notch ,New Hampshire
Waterville Valley Resort,Waterville Valley,New Hampshire
Whaleback,Enfield,New Hampshire
Wildcat Mountain,Pinkham Notch,New Hampshire
Yawgoo Valley,Exeter,Rhode Island
Bellows Falls Ski Tow,Bellows Falls,Vermont
Bolton Valley Resort,Bolton Valley,Vermont
Bromley Mountain,Peru,Vermont
Burke Mountain,East Burke,Vermont
Cochran's Ski Area,Richmond,Vermont
Harrington Hill,Strafford,Vermont
Hard 'Ack,St. Albans,Vermont
Haystack Mountain,Wilmington ,Vermont
